spe.ID	VOC_id	VOC_counts	VOC_name
ACH1	VOC_184	0	Diethylhydroxylamine
ACH1	VOC_185	0	Diundecylneopentylamine
ACH1	VOC_186	310449.0448	Dodecane, 2,5-dimethyl-
ACH1	VOC_187	0	Dodecane, 2,7,10-trimethyl-
ACH1	VOC_188	0	Ether, tert-butyl isopropylidenecyclopropyl
ACH1	VOC_189	0	Ethyl 1-methylcyclopropanecarboxylate
ACH1	VOC_190	0	Ethyl 4-ethoxyphenylacetate
ACH1	VOC_191	0	Ethyl Acetate
ACH1	VOC_192	0	Ethylenediamine
ACH1	VOC_193	0	Ethylenimine, N-chloro-
ACH1	VOC_194	0	Formamide, N-formyl-N-methyl-
ACH1	VOC_195	0	Furan-2-carbonyl chloride, tetrahydro-
ACH1	VOC_196	1348213.257	Heptane, 3-(chloromethyl)-
ACH1	VOC_197	235327.9901	Heptane, 4-ethyl-2,2,6,6-tetramethyl-
ACH1	VOC_198	0	Heptanoic acid, 1-methylethyl ester
ACH1	VOC_199	0	Hex-2-yn-4-one, 2-methyl-
ACH1	VOC_200	0	Hexane, 1-ethoxy-
ACH1	VOC_201	0	Hexanoic acid, 1,1-dimethylethyl ester
ACH1	VOC_202	0	Hydrazine, (2-methylpropyl)-
ACH1	VOC_203	0	Hydrazine, 1,1-diethyl-
ACH1	VOC_204	0	Hydrazine, 1,1-diethyl-2-(1-methylethyl)-
ACH1	VOC_205	0	Malonyl dichloride
ACH1	VOC_206	0	Methanamine, N,N-difluoro-
ACH1	VOC_207	0	Methanamine, N-butylidene-
ACH1	VOC_208	0	Methane, fluorotrinitro-
ACH1	VOC_209	0	Methoxyacetaldehyde diethyl acetal
ACH1	VOC_210	0	Methyl 2,4-dimethyltridecanoate
ACH1	VOC_211	0	Methyl 2,8-dimethyltridecanoate
ACH1	VOC_212	0	Methyl 2-acetamidoacrylate
ACH1	VOC_213	0	Methyl 2-butynoate
ACH1	VOC_214	0	Methyl 7,9-tridecadienyl ether
ACH1	VOC_215	0	Methyl-4-deoxy-2-O-methyl.beta.l-threo-hex-4-enopyranosid uronate
ACH1	VOC_216	0	Methylamine, N-cyclopentylidene-
ACH1	VOC_217	0	N',N'-Dimethyl-N-[2,2,3,3-tetracyano-4-(2-furyl)cyclopentyl]acetohydrazide
ACH1	VOC_218	0	N-(4-Methylphenyl)-4-methylbenzenesulfenamide
ACH1	VOC_219	0	N-(9-Ethyl-9H-carbazol-3-yl)-2,2,3,3,3-pentafluoropropanamide
ACH1	VOC_220	0	Nonane, 2-methyl-5-propyl-
ACH1	VOC_221	0	Nonane, 3-methyl-5-propyl-
ACH1	VOC_222	0	Nonane, 5-methyl-5-propyl-
ACH1	VOC_223	492593.0621	Octane, 2,3,6,7-tetramethyl-
ACH1	VOC_224	334498.0183	Octane, 5-ethyl-2-methyl-
ACH1	VOC_225	0	Octanoic acid, 2,6-dimethyl-, methyl ester
ACH1	VOC_226	0	Oxazolidine, 2,2,5-trimethyl-3-propyl-
ACH1	VOC_227	0	Oxetane, 3,3-dimethyl-
ACH1	VOC_228	0	Oxetane, 3-(1-methylethyl)-
ACH1	VOC_229	0	Oxirane, (bromomethyl)-
ACH1	VOC_230	0	Oxirane, (ethoxymethyl)-
ACH1	VOC_231	0	Oxirane, 2-(1,1-dimethylethyl)-3-methyl-
ACH1	VOC_232	0	Oxirane, 2-methyl-3-(1-methylethyl)-
ACH1	VOC_233	0	Pentadecanoic acid, 2,6,10,14-tetramethyl-, methyl ester
ACH1	VOC_234	0	Pentane, 2,4-dimethyl-2-nitro-
ACH1	VOC_235	0	Pentanedioic acid, 2-methyl-, dimethyl ester
ACH1	VOC_236	0	Pentanedioic acid, 3-methyl-, dimethyl ester
ACH1	VOC_237	0	Pentanoic acid, 2-methylbutyl ester
ACH1	VOC_238	0	Pivalic acid, 2-methylpropyl ester
ACH1	VOC_239	0	Pivaloylacetone, enol form
ACH1	VOC_240	0	Plumbane, dimethylbis(trifluoromethyl)-
ACH1	VOC_241	0	Prop-2-yn-1-yl 2-methylbutanoate
ACH1	VOC_242	0	Propanal, 2-propenylhydrazone
ACH1	VOC_243	0	Propane, 1-chloro-2,2-dimethyl-
ACH1	VOC_244	0	Propanoic acid, 2,2-dimethyl-, propyl ester
ACH1	VOC_245	0	Propanoic acid, 2-hydroxy-2-methyl-
ACH1	VOC_246	0	Propanoic acid, 2-methyl-, 1-methylethyl ester
ACH1	VOC_247	0	Propanoic acid, 2-methyl-, propyl ester
ACH1	VOC_248	0	Propanoic acid, anhydride
ACH1	VOC_249	0	Propiolactone
ACH1	VOC_250	0	Pyridin-2,6-diol, diacetate
ACH1	VOC_251	0	Pyrimidine, 2-methyl-
ACH1	VOC_252	0	Pyrimidine, 4,6-dimethyl-
ACH1	VOC_253	0	Tartaric acid, methyl ester
ACH1	VOC_254	0	Tetradecane, 4-ethyl-
ACH1	VOC_255	0	Tetramethylhydrazine
ACH1	VOC_256	0	Thiazole, 2-methyl-4-(1-methylethyl)-
ACH1	VOC_257	0	Thietane, 1-oxide
ACH1	VOC_258	0	Thietane, 3-methyl-
ACH1	VOC_259	0	Thiophene, 2,5-dibutyl-
ACH1	VOC_260	0	Triallylhydrazine
ACH1	VOC_261	0	Tridecane, 2,5-dimethyl-
ACH1	VOC_262	0	Triisobutylaluminum
ACH1	VOC_263	0	Undecane, 3,8-dimethyl-
ACH1	VOC_264	185832.6294	Undecane, 4,7-dimethyl-
ACH1	VOC_265	0	Undecanoic acid, 2-methyl-, methyl ester
ACH1	VOC_266	0	Z-1,6-Tridecadiene
ACH1	VOC_267	0	Z-9-Pentadecenol
ACH1	VOC_268	0	l-Proline, N-propoxycarbonyl-, decyl ester
